Type,Column 1,Background,Agenda,Leadership,Verified Source
Rakshya Bam,Individual,Activist from Kailali (Sudurpaschim); former social-work student and community volunteer[10].,Urges Nepali youth to stay politically engaged; calls for accountability on past corruption and fair elections[11].,N/A,Yes
Bidesh Sah,Individual,Youth leader from Parsa (Madhesh Province); public profile scarce.,N/A,N/A,No
Prabesh Dahal,Individual,Biratnagar law student; Gen Z faction leader advocating reform[12].,Supports introducing a directly elected executive head (with recall option) in upcoming elections[12][13].,N/A,Yes
Miraj Dhungana,Individual,Prominent Gen Z activist (Kathmandu); recently announced a new political party[14].,Calls for a directly elected executive and overseas voting rights for Nepalis[15].,N/A,Yes
Yujan Rajbhandari,Individual,24-year-old student leader who united Gen Z protesters online[16].,Demands corruption-free institutions and youth-focused reforms; helped select Sushila Karki as interim PM[16].,N/A,Yes
Amit Khanal,Individual,24-year-old youth activist; part of the Gen-Z Movement Alliance.,Calls for controlling corruption and greater accountability in government.,N/A,Yes
Purushottam Yadav,Individual,27-year-old youth leader from Siraha; MBA student turned anti-corruption activist.,"Demands integrity, transparency and anti-corruption reforms in governance.",N/A,Yes
Tanuja Pandey,Individual,Gen-Z activist and advocate of inclusive federalism.,Insists reforms stay within the constitution; opposes direct election of the prime minister; promotes accountability and inclusion.,N/A,Yes
Kishori Karki,Individual,Gen-Z activist who aided injured protesters in Kathmandu (background details not found in sources).,– (No specific agenda reported in sources),N/A,Yes
Abhishek Shrestha,Victim,Injured Gen-Z protester from Sindhupalchok; shot and hospitalized during the anti-graft protests.,Calls for justice and the arrest of those who shot protesters; demands accountability for the killings.,N/A,Yes
Sudan Gurung,Individual,36-year-old founder of the youth group Hami Nepal; former DJ who organized the protests via Discord.,Advocates transparency and people’s power; vows to bring corrupt leaders to justice.,"Founder, Hami Nepal",Yes
Ojaswi Raj Thapa,Individual,24-year-old cafe owner; Gen-Z volunteer and protest organizer.,Demands judicial independence and upholding the constitution.,N/A,Yes
Rehan Raj Dangal,Individual,Law graduate; Gen-Z activist coordinating Hami Nepal’s online channels.,Supports judicial independence and protecting constitutional democracy.,N/A,Yes
Bablu Gupta,Individual,Gen-Z activist; links governance with the economy; calls for stable government and rule of law.,"Advocates performance-based federalism and transparent, development-oriented governance.",N/A,Yes
Bikash Yadav,Individual,Gen-Z activist; emphasizes that corruption is a systemic problem.,"Demands depoliticized oversight bodies, stronger audits, and a merit-based civil service.",N/A,Yes
James Karki,Individual,Gen-Z activist; emphasizes constitutional democracy and rule of law.,Advocates upholding the constitution and vigilant citizen oversight.,N/A,Yes
Diwakar Dangal,Individual,Gen-Z leader; part of the delegation in talks with Nepal’s president and army.,Calls for dissolving parliament while preserving the constitution.,N/A,Yes
